Step,Loss,Cost,Accuracy
0,2.399508639145362,2.400508639145362,0.13
5,2.4623982084333327,2.4633982084333326,0.11
10,2.3581026521444963,2.359102652144496,0.08
15,2.4663278435437617,2.4673278435437616,0.12
20,2.409297749762694,2.410297749762694,0.14
25,2.4165825338543687,2.4175825338543686,0.13
30,2.414706616628932,2.415706616628932,0.09
35,2.4683798372046737,2.4693798372046736,0.07
40,2.3967207624855966,2.3977207624855965,0.14
45,2.4613206688474474,2.4623206688474473,0.14
50,2.4218829697052167,2.4228829697052165,0.09
55,2.525571680341485,2.526571680341485,0.07
60,2.40116475912887,2.40216475912887,0.05
65,2.4094893983194,2.4104893983194,0.06
70,2.35195131216037,2.35295131216037,0.13
75,2.417223729930339,2.418223729930339,0.14
80,2.439801538568155,2.440801538568155,0.08
85,2.3918571139943934,2.3928571139943933,0.09
90,2.414979868631573,2.415979868631573,0.12
95,2.3597557149043458,2.3607557149043457,0.2
100,2.3871508918952125,2.3881508918952123,0.15
105,2.402252915259621,2.4032529152596207,0.06
110,2.4267448309933912,2.427744830993391,0.08
115,2.3630987151021112,2.364098715102111,0.09
120,2.411518495215854,2.412518495215854,0.14
125,2.348061059270268,2.349061059270268,0.11
130,2.311880876598033,2.312880876598033,0.11
135,2.310241365521412,2.3112413655214117,0.12
140,2.3401056832318003,2.3411056832318002,0.15
145,2.3410582814898326,2.3420582814898325,0.15
150,2.2721673872995005,2.2731673872995004,0.12
155,2.3849227050700543,2.385922705070054,0.07
160,2.3124647482664087,2.3134647482664086,0.17
165,2.311287017169572,2.312287017169572,0.18
170,2.2790425857188437,2.2800425857188436,0.18
175,2.2971015580392096,2.2981015580392095,0.15
180,2.3303255467232917,2.3313255467232916,0.11
185,2.3192238838448596,2.3202238838448594,0.17
190,2.321124756805508,2.3221247568055077,0.16
195,2.307702353714862,2.308702353714862,0.12
200,2.1982474383557253,2.1992474383557252,0.21
205,2.294181793593138,2.295181793593138,0.16
210,2.192623622988457,2.193623622988457,0.18
215,2.243575000598461,2.244575000598461,0.17
220,2.237935482165727,2.238935482165727,0.13
225,2.236701810031696,2.237701810031696,0.14
230,2.144768464975181,2.145768464975181,0.24
235,2.204503961940169,2.205503961940169,0.18
240,2.250797097047554,2.251797097047554,0.14
245,2.2722016424160745,2.2732016424160744,0.12
250,2.2420681838355336,2.2430681838355335,0.19
255,2.253210529985872,2.2542105299858717,0.19
260,2.1638783435092535,2.1648783435092533,0.24
265,2.1389982282294278,2.1399982282294276,0.24
270,2.1573506357015058,2.1583506357015056,0.27
275,2.201176555746556,2.202176555746556,0.2
280,2.1344558125918205,2.1354558125918204,0.24
285,2.23171706264357,2.23271706264357,0.2
290,2.1506840626959147,2.1516840626959146,0.22
295,2.107736343477315,2.108736343477315,0.22
300,2.145579344299803,2.146579344299803,0.22
305,2.1605569349702924,2.1615569349702923,0.18
310,2.155499095659353,2.156499095659353,0.19
315,2.092909674260076,2.093909674260076,0.26
320,2.0746270216243707,2.0756270216243706,0.27
325,2.1559756186410537,2.1569756186410536,0.18
330,2.106733678801033,2.107733678801033,0.28
335,2.1989142555385444,2.1999142555385442,0.17
340,2.161792668726757,2.1627926687267567,0.23
345,2.161582785041519,2.162582785041519,0.16
350,2.1616814369297264,2.1626814369297263,0.2
355,2.151674864704476,2.1526748647044758,0.2
360,2.1078134183983748,2.1088134183983747,0.26
365,2.1297417229736415,2.1307417229736414,0.2
370,2.0744599440056484,2.0754599440056483,0.24
375,2.118246300511542,2.119246300511542,0.28
380,2.1317568554255173,2.132756855425517,0.25
385,2.102611629846464,2.1036116298464638,0.24
390,2.0646135590217223,2.065613559021722,0.23
395,2.115876868853031,2.116876868853031,0.25
400,2.070046489867059,2.071046489867059,0.31
405,2.0403636055885555,2.0413636055885553,0.3
410,2.0560187892522355,2.0570187892522354,0.23
415,2.0994285215820225,2.1004285215820224,0.23
420,2.1212148769913797,2.1222148769913796,0.24
425,2.100195578740119,2.101195578740119,0.27
430,2.0213817585798215,2.0223817585798214,0.29
435,2.0324575446130386,2.0334575446130385,0.34
440,2.1238894376770334,2.1248894376770333,0.18
445,2.0446483767090826,2.0456483767090825,0.24
450,1.9753908407202334,1.9763908407202333,0.28
455,2.067542110874505,2.068542110874505,0.29
460,2.080494338258488,2.081494338258488,0.25
465,2.067607427083077,2.068607427083077,0.25
470,1.9656770211226706,1.9666770211226705,0.35
475,1.9332472470480915,1.9342472470480914,0.32
480,2.059072258867276,2.060072258867276,0.3
485,2.026479902012653,2.027479902012653,0.25
490,1.9115937685316933,1.9125937685316932,0.33
495,1.9530704680702704,1.9540704680702703,0.31
500,2.013640780057745,2.014640780057745,0.3
505,1.973341229417442,1.9743412294174418,0.3
510,2.018740306737736,2.0197403067377357,0.28
515,1.9082673696118098,1.9092673696118097,0.29
520,1.9632923105229225,1.9642923105229224,0.34
525,1.873917164473847,1.874917164473847,0.35
530,1.8681712058983104,1.8691712058983103,0.34
535,2.0056223021095243,2.006622302109524,0.26
540,1.9424749424918009,1.9434749424918007,0.31
545,1.8946702329039982,1.895670232903998,0.44
550,1.965113608670149,1.966113608670149,0.3
555,2.056492193144223,2.0574921931442227,0.29
560,1.876934524538799,1.8779345245387988,0.36
565,1.9565650730556943,1.9575650730556942,0.28
570,2.0225904941836412,2.023590494183641,0.24
575,1.9169196872275833,1.9179196872275832,0.33
580,1.8485624607653386,1.8495624607653385,0.36
585,1.8879502048526084,1.8889502048526083,0.27
590,1.9450241116747846,1.9460241116747845,0.33
595,1.9337788765698776,1.9347788765698775,0.3
600,1.8878922936610039,1.8888922936610038,0.34
605,1.91278167305875,1.9137816730587498,0.33
610,1.9607150865850156,1.9617150865850155,0.33
615,1.8824543532128255,1.8834543532128254,0.34
620,1.9186163309606556,1.9196163309606555,0.34
625,1.949286030831266,1.950286030831266,0.3
630,2.084597792254805,2.085597792254805,0.22
635,1.9037639583400878,1.9047639583400877,0.31
640,1.9407440995621386,1.9417440995621384,0.34
645,1.9295549503328444,1.9305549503328443,0.31
650,1.9872981811893686,1.9882981811893685,0.29
655,1.9323382891949412,1.933338289194941,0.3
660,1.8474648385881736,1.8484648385881735,0.38
665,1.9568193594819976,1.9578193594819975,0.29
670,1.8891430798551883,1.8901430798551881,0.31
675,1.7785854640790586,1.7795854640790585,0.49
680,1.8388120783503228,1.8398120783503227,0.38
685,1.8531465003584922,1.854146500358492,0.31
690,1.8603989311332936,1.8613989311332935,0.32
695,1.8510844723246245,1.8520844723246244,0.35
700,1.8496081767499382,1.850608176749938,0.33
705,1.8453299537351422,1.846329953735142,0.35
710,1.8242753359578447,1.8252753359578446,0.3
715,1.9459879683426784,1.9469879683426783,0.29
720,1.9197004300594984,1.9207004300594983,0.3
725,1.829534215301418,1.830534215301418,0.36
730,1.7486287065329238,1.7496287065329237,0.42
735,1.719730058761838,1.720730058761838,0.4
740,1.7895677570320856,1.7905677570320855,0.39
745,1.88173650253873,1.88273650253873,0.34
750,1.8651413109560782,1.866141310956078,0.35
755,1.903629648412587,1.9046296484125869,0.4
760,1.7898989707905366,1.7908989707905365,0.36
765,1.7943811352646655,1.7953811352646654,0.34
770,1.7721951762070915,1.7731951762070914,0.38
775,1.8547954160618618,1.8557954160618617,0.36
780,1.8172900412496786,1.8182900412496785,0.31
785,1.8317484594196987,1.8327484594196986,0.37
790,1.8686577962223978,1.8696577962223977,0.4
795,1.7694466017913895,1.7704466017913894,0.36
800,1.638713980171422,1.6397139801714218,0.36
805,1.7155453198649544,1.7165453198649543,0.46
810,1.63202248231651,1.6330224823165098,0.48
815,1.8478473333729197,1.8488473333729196,0.32
820,1.809493466388443,1.8104934663884429,0.39
825,1.999455632108911,2.000455632108911,0.33
830,1.7232861332756277,1.7242861332756276,0.36
835,1.8994801553545642,1.900480155354564,0.32
840,1.8034763650872168,1.8044763650872166,0.4
845,1.7011875829570797,1.7021875829570796,0.41
850,1.720224759590709,1.7212247595907089,0.42
855,1.812863709575288,1.8138637095752879,0.38
860,1.7361339496663357,1.7371339496663356,0.45
865,1.6939486661965657,1.6949486661965656,0.42
870,1.6927216307552098,1.6937216307552097,0.41
875,1.7676179983902378,1.7686179983902377,0.35
880,1.6833908881832371,1.684390888183237,0.38
885,1.6521502763993474,1.6531502763993473,0.42
890,1.8651246579462866,1.8661246579462865,0.34
895,1.788684434154056,1.7896844341540559,0.37
900,1.7529889370291472,1.753988937029147,0.45
905,1.677776913772692,1.6787769137726918,0.39
910,1.7308114153049141,1.731811415304914,0.41
915,1.783619119355219,1.784619119355219,0.4
920,1.8676363750902112,1.868636375090211,0.3
925,1.7483890602621042,1.749389060262104,0.39
930,1.7499865794797689,1.7509865794797688,0.44
935,1.830151547676824,1.8311515476768239,0.4
940,1.8234283517850052,1.824428351785005,0.37
945,1.8472498509158788,1.8482498509158787,0.38
950,1.7826144635160306,1.7836144635160305,0.41
955,1.55777008335125,1.55877008335125,0.41
960,1.8299430484324473,1.8309430484324472,0.33
965,1.7231671533284922,1.7241671533284921,0.4
970,1.8163398079064408,1.8173398079064407,0.38
975,1.6714727311594422,1.672472731159442,0.38
980,1.7673467342588507,1.7683467342588506,0.4
985,1.7430077293486574,1.7440077293486573,0.44
990,1.7238565108012975,1.7248565108012974,0.38
995,1.7929269093721991,1.793926909372199,0.37
1000,1.6670287833111788,1.6680287833111787,0.41
1005,1.831818629884449,1.8328186298844489,0.36
1010,1.758748168151279,1.759748168151279,0.41
1015,1.6770094502332316,1.6780094502332314,0.42
1020,1.728547208852488,1.729547208852488,0.39
1025,1.6419436076393863,1.6429436076393862,0.45
1030,1.643563836753215,1.644563836753215,0.42
1035,1.6535060892249944,1.6545060892249943,0.4
1040,1.783719576865379,1.784719576865379,0.34
1045,1.6082189043879003,1.6092189043879002,0.43
1050,1.785855123345953,1.7868551233459529,0.32
1055,1.7514210532195225,1.7524210532195224,0.37
1060,1.5423220378494416,1.5433220378494414,0.51
1065,1.7072497090194632,1.708249709019463,0.42
1070,1.7832172741685388,1.7842172741685387,0.36
1075,1.6290425136770508,1.6300425136770507,0.49
1080,1.7572051621617308,1.7582051621617307,0.38
1085,1.5643171976475674,1.5653171976475673,0.43
1090,1.6245363912464361,1.625536391246436,0.41
1095,1.5674661029953731,1.568466102995373,0.43
1100,1.493446150132729,1.4944461501327289,0.51
1105,1.6691667642881407,1.6701667642881406,0.44
1110,1.9055548584029425,1.9065548584029424,0.29
1115,1.5972061116607257,1.5982061116607256,0.49
1120,1.67249629591702,1.6734962959170199,0.43
1125,1.7441775728564246,1.7451775728564245,0.39
1130,1.840528252720392,1.841528252720392,0.3
1135,1.6427515727807402,1.6437515727807401,0.39
1140,1.5587392487825174,1.5597392487825172,0.47
1145,1.521148966651221,1.522148966651221,0.46
1150,1.7905754151310616,1.7915754151310614,0.37
1155,1.7103895358712626,1.7113895358712625,0.38
1160,1.6856620881999946,1.6866620881999945,0.38
1165,1.7673320551628444,1.7683320551628443,0.39
1170,1.663098238159551,1.6640982381595508,0.41
1175,1.4971441252696027,1.4981441252696026,0.51
1180,1.6406662465495152,1.641666246549515,0.37
1185,1.6811802610075746,1.6821802610075745,0.4
1190,1.6580052386936208,1.6590052386936207,0.37
1195,1.6119445758529205,1.6129445758529204,0.43
1200,1.7201315613850543,1.7211315613850542,0.41
1205,1.564673957824464,1.5656739578244638,0.49
1210,1.5007651103513908,1.5017651103513907,0.47
1215,1.7016130906413676,1.7026130906413675,0.37
1220,1.722909067087331,1.723909067087331,0.4
1225,1.7184523502573454,1.7194523502573453,0.44
1230,1.760846426652828,1.761846426652828,0.42
1235,1.5454863092893254,1.5464863092893253,0.47
1240,1.6641146378957776,1.6651146378957775,0.39
1245,1.680960303409298,1.6819603034092978,0.35
1250,1.479613983366631,1.480613983366631,0.5
1255,1.4598138091724027,1.4608138091724026,0.52
1260,1.6714800330455986,1.6724800330455984,0.39
1265,1.495842144790612,1.496842144790612,0.52
1270,1.494883989602632,1.495883989602632,0.48
1275,1.6575741582887784,1.6585741582887783,0.43
1280,1.6426710294113551,1.643671029411355,0.44
1285,1.472683835924562,1.4736838359245619,0.43
1290,1.4604747501218214,1.4614747501218213,0.45
1295,1.737266491653402,1.7382664916534019,0.42
1300,1.6504765771405596,1.6514765771405595,0.44
1305,1.484246505790441,1.485246505790441,0.46
1310,1.5635341346596352,1.564534134659635,0.41
1315,1.677373785109379,1.678373785109379,0.37
1320,1.544426995824586,1.5454269958245859,0.5
1325,1.6451014417148377,1.6461014417148376,0.38
1330,1.5417744307803207,1.5427744307803206,0.44
1335,1.6159795915728103,1.6169795915728102,0.46
1340,1.5977609289107777,1.5987609289107776,0.41
1345,1.7097670211920901,1.71076702119209,0.4
1350,1.5785099608572923,1.5795099608572922,0.44
1355,1.6066482622280887,1.6076482622280885,0.43
1360,1.6001662330164732,1.601166233016473,0.39
