Step,Loss,Cost,Accuracy
0,2.4711354813507453,2.4721354813507452,0.11
5,2.4713567377672634,2.4723567377672633,0.16
10,2.443543743527186,2.444543743527186,0.09
15,2.5199629370800207,2.5209629370800206,0.08
20,2.428439124055668,2.429439124055668,0.14
25,2.3776954063377636,2.3786954063377634,0.13
30,2.401432242789591,2.4024322427895908,0.11
35,2.4148230023145416,2.4158230023145415,0.12
40,2.4216666670850255,2.4226666670850254,0.11
45,2.3378333067399777,2.3388333067399776,0.1
50,2.338561473698978,2.339561473698978,0.1
55,2.3939111247189024,2.3949111247189023,0.12
60,2.2888445758114386,2.2898445758114385,0.17
65,2.320543136579866,2.3215431365798658,0.09
70,2.2770810727627593,2.278081072762759,0.18
75,2.3411030108349533,2.342103010834953,0.12
80,2.2830253589915137,2.2840253589915136,0.13
85,2.3150284566049866,2.3160284566049865,0.1
90,2.2995425013513953,2.300542501351395,0.16
95,2.3049686876084974,2.3059686876084973,0.12
100,2.2754188171178473,2.276418817117847,0.2
105,2.3126126868210695,2.3136126868210694,0.12
110,2.301927415511868,2.302927415511868,0.11
115,2.2684843536612926,2.2694843536612925,0.18
120,2.3021855104988207,2.3031855104988206,0.11
125,2.322597079250919,2.323597079250919,0.11
130,2.292538935732342,2.2935389357323417,0.11
135,2.2787219297294667,2.2797219297294666,0.13
140,2.3105156544972076,2.3115156544972075,0.08
145,2.2659460949724726,2.2669460949724725,0.16
150,2.2808095129202135,2.2818095129202134,0.09
155,2.2634748435191168,2.2644748435191167,0.17
160,2.2480044101677032,2.249004410167703,0.17
165,2.2562368158754365,2.2572368158754363,0.19
170,2.2643476695232554,2.2653476695232553,0.12
175,2.2569452519405204,2.2579452519405203,0.15
180,2.287731013070685,2.288731013070685,0.12
185,2.2632519216147124,2.2642519216147123,0.19
190,2.2641493747478427,2.2651493747478426,0.15
195,2.2449231261556366,2.2459231261556365,0.16
200,2.2266932640895196,2.2276932640895195,0.21
205,2.224275479392988,2.225275479392988,0.13
210,2.192462791504941,2.193462791504941,0.2
215,2.2277302351479964,2.2287302351479963,0.19
220,2.2009995010199144,2.2019995010199143,0.23
225,2.2050664201899957,2.2060664201899955,0.21
230,2.16736608178897,2.16836608178897,0.28
235,2.226633793768456,2.227633793768456,0.19
240,2.2111234023148416,2.2121234023148415,0.16
245,2.193467585604051,2.194467585604051,0.17
250,2.2010835747275,2.2020835747275,0.18
255,2.225954447922119,2.226954447922119,0.16
260,2.190655692193997,2.1916556921939967,0.2
265,2.1209559058709435,2.1219559058709434,0.27
270,2.189868262962765,2.190868262962765,0.17
275,2.192028227344661,2.193028227344661,0.17
280,2.1088399168384147,2.1098399168384145,0.22
285,2.1724077521066985,2.1734077521066983,0.23
290,2.161911521143882,2.162911521143882,0.23
295,2.1017717049615983,2.102771704961598,0.21
300,2.1437673208536507,2.1447673208536506,0.23
305,2.1519344877062694,2.1529344877062693,0.17
310,2.117858777820181,2.118858777820181,0.28
315,2.0857909862532398,2.0867909862532397,0.29
320,2.038267408086871,2.0392674080868707,0.28
325,2.1442271615117354,2.1452271615117353,0.25
330,2.0685197856517035,2.0695197856517034,0.27
335,2.0814191705056224,2.0824191705056223,0.27
340,2.06421239683208,2.06521239683208,0.31
345,2.091523796944958,2.092523796944958,0.24
350,2.1123187229077036,2.1133187229077035,0.22
355,2.1786359909534685,2.1796359909534684,0.16
360,2.07429484785437,2.07529484785437,0.25
365,2.062326056029015,2.0633260560290148,0.26
370,2.020735981337181,2.021735981337181,0.29
375,2.1233345441541362,2.124334544154136,0.3
380,2.1218997258807093,2.122899725880709,0.22
385,2.0597847491873047,2.0607847491873046,0.27
390,1.9817695165558116,1.9827695165558115,0.28
395,2.0957438192713096,2.0967438192713095,0.23
400,1.9461868749348343,1.9471868749348342,0.31
405,2.050375602401879,2.0513756024018788,0.22
410,2.0240158441356577,2.0250158441356576,0.28
415,2.030658664288476,2.031658664288476,0.27
420,2.1029795139228433,2.103979513922843,0.19
425,2.085329270879159,2.0863292708791588,0.32
430,2.0039226699897794,2.0049226699897793,0.27
435,2.05228777470252,2.05328777470252,0.27
440,2.1179137014638014,2.1189137014638013,0.22
445,2.051084816463329,2.0520848164633287,0.25
450,1.9796357728814895,1.9806357728814894,0.3
455,2.030780015782191,2.031780015782191,0.26
460,2.0383586746474016,2.0393586746474015,0.22
465,1.958813999862446,1.959813999862446,0.3
470,1.9601679110819383,1.9611679110819382,0.35
475,2.0046270906249894,2.0056270906249893,0.32
480,2.071507044847404,2.072507044847404,0.24
485,1.9148439101265518,1.9158439101265516,0.29
490,1.8676300647494823,1.8686300647494822,0.39
495,1.9209113419052886,1.9219113419052885,0.34
500,1.9832389575558809,1.9842389575558808,0.25
505,2.001699202317083,2.002699202317083,0.34
510,1.9527419611731873,1.9537419611731872,0.27
515,1.9111482960825723,1.9121482960825722,0.3
520,1.8889603141042528,1.8899603141042527,0.39
525,1.8870760711183612,1.888076071118361,0.38
530,1.838441226885033,1.8394412268850329,0.37
535,1.9649876723047865,1.9659876723047864,0.31
540,1.9120904905580662,1.9130904905580661,0.36
545,1.9051085179838376,1.9061085179838375,0.36
550,1.9681567116946577,1.9691567116946576,0.23
555,2.016087670767381,2.017087670767381,0.26
