Lambda,Index,Accuracy,Cost,Loss,EtaMin,EtaMax,Cycles,n_s,Batchsize,Seed
,,,,,,,,,,
0.004,45,0.541,1.315926946,1.315910946,1.00E-05,0.1,2,2250,100,1337
,,,,,,,,,,
0.004333333,46,0.5366,1.32233725,1.322319916,1.00E-05,0.1,2,2250,100,1337
,,,,,,,,,,
0.004666667,45,0.537,1.31123199,1.311213323,1.00E-05,0.1,2,2250,100,1337
,,,,,,,,,,
0.005,45,0.5382,1.316388752,1.316368752,1.00E-05,0.1,2,2250,100,1337
,,,,,,,,,,
0.005333333,89,0.541,1.300160999,1.300139666,1.00E-05,0.1,2,2250,100,1337
,,,,,,,,,,
0.005666667,45,0.5386,1.305624868,1.305602201,1.00E-05,0.1,2,2250,100,1337
,,,,,,,,,,
0.006,45,0.5426,1.305677018,1.305653018,1.00E-05,0.1,2,2250,100,1337
,,,,,,,,,,
0.006333333,45,0.5398,1.309455994,1.309430661,1.00E-05,0.1,2,2250,100,1337
,,,,,,,,,,
0.006666667,45,0.537,1.313034297,1.313007631,1.00E-05,0.1,2,2250,100,1337
,,,,,,,,,,
0.007,45,0.5368,1.311992727,1.311964727,1.00E-05,0.1,2,2250,100,1337
