Lambda,Index,Accuracy,Cost,Loss,EtaMin,EtaMax,Cycles,n_s,Batchsize,Seed
,,,,,,,,,,
0.0001,39,0.4836,1.44516265,1.44516225,1.00E-05,0.1,1,900,100,1337
,,,,,,,,,,
0.0112,39,0.4948,1.432707303,1.432662503,1.00E-05,0.1,1,900,100,1337
,,,,,,,,,,
0.0223,39,0.4854,1.467990812,1.467901612,1.00E-05,0.1,1,900,100,1337
,,,,,,,,,,
0.0334,39,0.4752,1.496828491,1.496694891,1.00E-05,0.1,1,900,100,1337
,,,,,,,,,,
0.0445,39,0.4772,1.514743685,1.514565685,1.00E-05,0.1,1,900,100,1337
,,,,,,,,,,
0.0556,39,0.464,1.559953634,1.559731234,1.00E-05,0.1,1,900,100,1337
,,,,,,,,,,
0.0667,39,0.4474,1.589203956,1.588937156,1.00E-05,0.1,1,900,100,1337
,,,,,,,,,,
0.0778,39,0.4518,1.603486521,1.603175321,1.00E-05,0.1,1,900,100,1337
,,,,,,,,,,
0.0889,39,0.428,1.632024064,1.631668464,1.00E-05,0.1,1,900,100,1337
,,,,,,,,,,
0.1,39,0.4184,1.6616807,1.6612807,1.00E-05,0.1,1,900,100,1337
,,,,,,,,,,
0.0001,71,0.5106,1.381511794,1.381511394,1.00E-05,0.1,2,900,100,1337
,,,,,,,,,,
0.002311111,71,0.5184,1.370800003,1.370790758,1.00E-05,0.1,2,900,100,1337
,,,,,,,,,,
0.004522222,71,0.5226,1.355904246,1.355886157,1.00E-05,0.1,2,900,100,1337
,,,,,,,,,,
0.006733333,71,0.5232,1.355687265,1.355660332,1.00E-05,0.1,2,900,100,1337
,,,,,,,,,,
0.008944444,71,0.5158,1.361679082,1.361643304,1.00E-05,0.1,2,900,100,1337
,,,,,,,,,,
0.011155556,71,0.5196,1.371850803,1.37180618,1.00E-05,0.1,2,900,100,1337
,,,,,,,,,,
0.013366667,71,0.5132,1.393266433,1.393212966,1.00E-05,0.1,2,900,100,1337
,,,,,,,,,,
0.015577778,71,0.511,1.385234116,1.385171805,1.00E-05,0.1,2,900,100,1337
,,,,,,,,,,
0.017788889,71,0.5088,1.400919409,1.400848253,1.00E-05,0.1,2,900,100,1337
,,,,,,,,,,
0.02,71,0.5058,1.413143937,1.413063937,1.00E-05,0.1,2,900,100,1337
