Lambda,Index,Accuracy,Cost,Loss,EtaMin,EtaMax,Cycles,n_s,Batchsize
,,,,,,,,,
0.003768551,399,0.5136,1.381252271,1.381237197,1.00E-05,0.1,2,900,100
,,,,,,,,,
0.00378559,396,0.5108,1.381439381,1.381424238,1.00E-05,0.1,2,900,100
,,,,,,,,,
0.003489085,396,0.5098,1.395742258,1.395728302,1.00E-05,0.1,2,900,100
,,,,,,,,,
0.002278479,397,0.5068,1.382897165,1.382888051,1.00E-05,0.1,2,900,100
,,,,,,,,,
0.002633485,391,0.501,1.402498793,1.402488259,1.00E-05,0.1,2,900,100
,,,,,,,,,
0.003610038,392,0.5102,1.396359531,1.396345091,1.00E-05,0.1,2,900,100
,,,,,,,,,
0.002284308,395,0.5172,1.38682828,1.386819143,1.00E-05,0.1,2,900,100
,,,,,,,,,
0.003439001,394,0.513,1.390548633,1.390534877,1.00E-05,0.1,2,900,100
,,,,,,,,,
0.002966022,389,0.509,1.397646392,1.397634528,1.00E-05,0.1,2,900,100
,,,,,,,,,
0.003675288,399,0.5122,1.389140665,1.389125964,1.00E-05,0.1,2,900,100
