Lambda,Index,Accuracy,Cost,Loss,EtaMin,EtaMax,Cycles,n_s,Batchsize,Seed
,,,,,,,,,,
0.0001,394,0.5104,1.380529196,1.380528796,1.00E-05,0.1,2,900,100,
,,,,,,,,,,
0.002311111,397,0.5298,1.334454092,1.334444848,1.00E-05,0.1,2,900,100,
,,,,,,,,,,
0.004522222,399,0.5298,1.337599059,1.33758097,1.00E-05,0.1,2,900,100,
,,,,,,,,,,
0.006733333,399,0.5256,1.339793367,1.339766434,1.00E-05,0.1,2,900,100,
,,,,,,,,,,
0.008944444,399,0.5228,1.346473627,1.34643785,1.00E-05,0.1,2,900,100,
,,,,,,,,,,
0.011155556,398,0.5214,1.355949366,1.355904744,1.00E-05,0.1,2,900,100,
,,,,,,,,,,
0.013366667,398,0.5316,1.352508778,1.352455311,1.00E-05,0.1,2,900,100,
,,,,,,,,,,
0.015577778,398,0.5168,1.375692475,1.375630164,1.00E-05,0.1,2,900,100,
,,,,,,,,,,
0.017788889,399,0.5152,1.374876153,1.374804998,1.00E-05,0.1,2,900,100,
,,,,,,,,,,
0.02,397,0.5098,1.396619191,1.396539191,1.00E-05,0.1,2,900,100,
