Step,Loss,Cost,Accuracy
0,2.6716659964988168,2.672931996498817,0.13
50,2.5308105472147977,2.532076547214798,0.15
100,2.3159438209743612,2.3172098209743615,0.19
150,2.1296267496522234,2.1308927496522236,0.24
200,1.932616668113601,1.933882668113601,0.32
250,1.8765460402822953,1.8778120402822953,0.3
300,1.8899414609410232,1.8912074609410232,0.32
350,1.9136766045128835,1.9149426045128835,0.33
400,1.8158972893553786,1.8171632893553786,0.33
450,1.7909770335441229,1.7922430335441228,0.35
500,1.8298695876197224,1.8311355876197224,0.35
550,1.7983458857313541,1.799611885731354,0.36
600,1.6229043707204527,1.6241703707204527,0.4
650,1.6553480830659018,1.6566140830659017,0.46
700,1.5323955015642412,1.5336615015642412,0.43
750,1.6676702924242588,1.6689362924242588,0.43
800,1.3272852735412544,1.3285512735412544,0.6
850,1.5682502853945557,1.5695162853945557,0.45
900,1.5784469945124662,1.5797129945124662,0.41
950,1.5782591106009787,1.5795251106009787,0.45
1000,1.5012382256848915,1.5025042256848915,0.51
1050,1.609288843630855,1.610554843630855,0.4
1100,1.392197741849647,1.393463741849647,0.54
1150,1.7537557587441253,1.7550217587441252,0.45
1200,1.8604138177774636,1.8616798177774636,0.34
1250,1.2790833546654645,1.2803493546654645,0.51
1300,1.5617720833498905,1.5630380833498905,0.48
1350,1.7900904329519032,1.7913564329519032,0.39
1400,1.9708484864500262,1.9721144864500262,0.35
1450,2.188091729432117,2.189357729432117,0.3
1500,1.5718866074477333,1.5731526074477333,0.48
1550,1.6339170064198185,1.6351830064198185,0.37
1600,1.5393379126480438,1.5406039126480437,0.4
1650,2.1438456568067936,2.145111656806794,0.32
1700,1.4738040328428494,1.4750700328428494,0.44
1750,1.6831145173274842,1.6843805173274842,0.34
1800,1.3389343599455004,1.3402003599455004,0.55
1850,1.6365265868249403,1.6377925868249403,0.4
1900,1.406389256363952,1.407655256363952,0.49
1950,1.8058183851527676,1.8070843851527676,0.35
2000,1.44022532760295,1.44149132760295,0.44
2050,1.7409649006248358,1.7422309006248358,0.39
2100,1.3338232757581765,1.3350892757581765,0.53
2150,1.4660386609216298,1.4673046609216298,0.49
2200,1.4098538223325037,1.4111198223325037,0.48
2250,1.3163657781591716,1.3176317781591715,0.56
