Step,Loss,Cost,Accuracy
0,2.399508639145362,2.400508639145362,0.13
50,2.394056562513065,2.395056562513065,0.13
100,2.3272991608426317,2.3282991608426316,0.21
150,2.2148931411237145,2.2158931411237144,0.14
200,2.0942223093615393,2.095222309361539,0.25
250,2.0993068333287344,2.1003068333287342,0.26
300,2.006415325436767,2.007415325436767,0.24
350,2.0287812421848397,2.0297812421848396,0.29
400,1.8419249646873328,1.8429249646873327,0.39
450,1.8684030842961628,1.8694030842961626,0.35
500,1.8420258852414244,1.8430258852414243,0.35
550,1.7881349175948993,1.7891349175948992,0.34
600,1.654667968005322,1.655667968005322,0.37
650,1.7422709923351554,1.7432709923351553,0.37
700,1.6445018914653713,1.6455018914653712,0.36
750,1.6754781235571143,1.6764781235571142,0.39
800,1.3843495338251035,1.3853495338251034,0.53
850,1.556571184581474,1.557571184581474,0.45
900,1.6774840295785043,1.6784840295785042,0.43
950,1.5970853897864765,1.5980853897864764,0.54
1000,1.4717602687288776,1.4727602687288774,0.49
1050,1.6022380900883775,1.6032380900883774,0.41
1100,1.318955746126958,1.319955746126958,0.52
1150,1.5836970322558575,1.5846970322558573,0.44
1200,1.6398004136463227,1.6408004136463226,0.43
1250,1.3363004694029101,1.33730046940291,0.5
1300,1.5415738421108764,1.5425738421108763,0.46
1350,1.48465593947438,1.4856559394743798,0.5
1400,1.6071773070951594,1.6081773070951593,0.46
1450,1.5693771850733886,1.5703771850733885,0.38
1500,1.3617608486048802,1.3627608486048801,0.53
1550,1.3352316989926527,1.3362316989926526,0.5
1600,1.4098528119056402,1.41085281190564,0.5
1650,1.6730820867368905,1.6740820867368904,0.44
1700,1.3131869850510507,1.3141869850510506,0.51
1750,1.4679716235153522,1.468971623515352,0.47
1800,1.4100545004493523,1.4110545004493522,0.53
1850,1.3579988561161684,1.3589988561161683,0.57
1900,1.2924097486187347,1.2934097486187346,0.47
1950,1.5195959952052862,1.520595995205286,0.42
2000,1.324631788171251,1.325631788171251,0.51
2050,1.5395872010975706,1.5405872010975705,0.44
2100,1.30672344707115,1.3077234470711498,0.53
2150,1.3437062364980945,1.3447062364980944,0.53
2200,1.549012257240889,1.550012257240889,0.47
2250,1.7187006193221983,1.7197006193221982,0.43
2300,1.689006926402403,1.690006926402403,0.45
2350,1.5111676532459941,1.512167653245994,0.47
2400,1.5503360170867628,1.5513360170867627,0.49
2450,1.3952174196502114,1.3962174196502113,0.5
2500,1.3567460085583827,1.3577460085583826,0.51
2550,2.6249496620031483,2.625949662003148,0.35
2600,1.2479041708659722,1.248904170865972,0.52
2650,1.5835085020931217,1.5845085020931216,0.49
2700,1.8897940489267533,1.8907940489267532,0.29
2750,1.4723932056413154,1.4733932056413153,0.46
2800,1.7442687316679695,1.7452687316679694,0.44
2850,1.3556239418087488,1.3566239418087487,0.53
2900,2.545322113899444,2.546322113899444,0.32
2950,1.608173670252102,1.6091736702521018,0.42
3000,1.6235260802192584,1.6245260802192583,0.43
3050,1.464119596814349,1.465119596814349,0.46
3100,1.2676385830563448,1.2686385830563447,0.57
3150,1.2467752834069832,1.247775283406983,0.59
3200,1.4802694597160526,1.4812694597160525,0.45
3250,1.3023817215379174,1.3033817215379173,0.54
3300,1.1209295185977188,1.1219295185977187,0.59
3350,1.5002357102728439,1.5012357102728437,0.44
3400,1.2947901804190358,1.2957901804190357,0.53
3450,1.0203380001733096,1.0213380001733094,0.64
3500,1.190735391047936,1.1917353910479358,0.64
3550,1.3320530645248037,1.3330530645248035,0.54
