Step,Loss,Cost,Accuracy
0,2.30258504299407,2.30358504299407,0.13
50,2.302556485814014,2.303556485814014,0.1
100,2.302160842941704,2.303160842941704,0.2
150,2.302494863639468,2.303494863639468,0.05
200,2.3025347227329416,2.3035347227329415,0.13
250,2.302324159756987,2.3033241597569867,0.1
300,2.3024746191924748,2.3034746191924746,0.08
350,2.30213710490906,2.30313710490906,0.12
400,2.3028595461168715,2.3038595461168714,0.06
450,2.3025002183657706,2.3035002183657705,0.11
500,2.3026869929444787,2.3036869929444785,0.11
550,2.3028650246255693,2.303865024625569,0.13
600,2.3039404951087996,2.3049404951087995,0.09
650,2.300994042174562,2.3019940421745617,0.1
700,2.300936192832595,2.3019361928325948,0.19
750,2.301694126374102,2.302694126374102,0.13
800,2.3015850880239617,2.3025850880239616,0.1
850,2.303190956940659,2.304190956940659,0.07
900,2.3025318365932503,2.3035318365932502,0.09
950,2.302609353449111,2.303609353449111,0.12
1000,2.300117825170925,2.301117825170925,0.13
1050,2.3010311427460213,2.302031142746021,0.07
1100,2.3002572030678605,2.3012572030678604,0.16
1150,2.3041337326156306,2.3051337326156305,0.07
1200,2.3015000025285484,2.3025000025285483,0.13
1250,2.302529755246445,2.303529755246445,0.09
1300,2.300045692954599,2.301045692954599,0.09
1350,2.302081869992178,2.303081869992178,0.09
1400,2.3015658088925957,2.3025658088925955,0.11
1450,2.3021567600044066,2.3031567600044065,0.08
1500,2.301263290871555,2.302263290871555,0.11
1550,2.303183970599422,2.304183970599422,0.1
1600,2.3028807109691525,2.3038807109691524,0.07
1650,2.303372700835711,2.304372700835711,0.11
1700,2.30379185234998,2.3047918523499797,0.08
1750,2.301802714469902,2.3028027144699017,0.08
1800,2.302007251188123,2.3030072511881228,0.11
1850,2.302507671351994,2.3035076713519937,0.1
1900,2.3017825095292337,2.3027825095292336,0.14
1950,2.3037043960525776,2.3047043960525775,0.06
2000,2.3022900300837814,2.3032900300837813,0.07
2050,2.301946791808203,2.302946791808203,0.1
2100,2.3027036600976007,2.3037036600976006,0.08
2150,2.30195199915962,2.3029519991596197,0.11
2200,2.3014564209046964,2.3024564209046963,0.15
2250,2.303899712736353,2.304899712736353,0.09
2300,2.3014549389703434,2.3024549389703433,0.08
2350,2.302256951986177,2.3032569519861767,0.07
2400,2.3005291087387247,2.3015291087387246,0.16
2450,2.3039121628174044,2.3049121628174043,0.09
2500,2.3021703441219086,2.3031703441219085,0.13
2550,2.3033498338716623,2.304349833871662,0.1
2600,2.30158244191119,2.30258244191119,0.14
2650,2.302807918109,2.303807918109,0.09
2700,2.3031629033658856,2.3041629033658855,0.09
2750,2.30087313051878,2.30187313051878,0.16
2800,2.3031636613441564,2.3041636613441563,0.11
2850,2.3003535464728673,2.301353546472867,0.11
2900,2.301968621090347,2.302968621090347,0.05
2950,2.301790725954846,2.302790725954846,0.13
3000,2.3031179722852837,2.3041179722852836,0.09
3050,2.30206299622244,2.30306299622244,0.11
3100,2.30275364522559,2.30375364522559,0.05
3150,2.3012695574694906,2.3022695574694905,0.16
3200,2.3017702556919617,2.3027702556919616,0.11
3250,2.3028683900229434,2.3038683900229433,0.13
3300,2.301923886454881,2.302923886454881,0.12
3350,2.3020354919059374,2.3030354919059373,0.16
3400,2.3026189804376416,2.3036189804376415,0.12
3450,2.3026457565138387,2.3036457565138386,0.07
3500,2.3023323452718727,2.3033323452718726,0.09
3550,2.301483421729234,2.302483421729234,0.08
