Lambda,Index,Accuracy,Cost,Loss,EtaMin,EtaMax,Cycles,n_s,Batchsize,Seed
0.004,71,0.5208,1.362937541197637,1.362921541197637,1e-05,0.1,2,900.0,100,1337
0.004333333333333333,71,0.5228,1.360775164099478,1.3607578307661448,1e-05,0.1,2,900.0,100,1337
0.004666666666666667,71,0.5192,1.3599483464313225,1.3599296797646558,1e-05,0.1,2,900.0,100,1337
0.005,71,0.52,1.362215115847959,1.362195115847959,1e-05,0.1,2,900.0,100,1337
0.005333333333333333,71,0.5206,1.3586596079796662,1.3586382746463328,1e-05,0.1,2,900.0,100,1337
0.005666666666666667,71,0.5158,1.366468923440368,1.3664462567737012,1e-05,0.1,2,900.0,100,1337
0.006,71,0.5206,1.3560574631534414,1.3560334631534414,1e-05,0.1,2,900.0,100,1337
0.006333333333333333,71,0.5264,1.3543961804544677,1.3543708471211344,1e-05,0.1,2,900.0,100,1337
0.006666666666666666,71,0.5226,1.3658739248567962,1.3658472581901295,1e-05,0.1,2,900.0,100,1337
0.007,71,0.524,1.358527131128214,1.3584991311282142,1e-05,0.1,2,900.0,100,1337
