Step,Loss,Cost,Accuracy
0,2.6751430046077354,2.7159430046077353,0.05
100,2.808957882541489,2.849757882541489,0.08
200,2.322453804423674,2.363253804423674,0.19
300,2.263987528799922,2.3047875287999218,0.14
400,2.1785984580983886,2.2193984580983885,0.19
500,2.0963624911229175,2.1371624911229175,0.26
600,2.076499773872267,2.1172997738722668,0.28
700,2.027707935552529,2.068507935552529,0.29
800,1.894221643082982,1.9350216430829819,0.31
900,1.951139493020726,1.991939493020726,0.32
1000,2.130519311276727,2.171319311276727,0.26
1100,1.8199977720515381,1.860797772051538,0.32
1200,1.9747073698256026,2.0155073698256025,0.3
1300,1.9577178056436926,1.9985178056436925,0.26
1400,1.9766056548924171,2.0174056548924173,0.26
1500,1.7598855896161714,1.8006855896161713,0.32
1600,1.7770429341940528,1.8178429341940527,0.37
1700,1.795427097245097,1.836227097245097,0.38
1800,1.5850336153264895,1.6258336153264894,0.52
1900,1.5255573906424562,1.5663573906424562,0.44
2000,1.7053358601871664,1.7461358601871664,0.34
2100,1.6069628858151004,1.6477628858151003,0.42
2200,1.7612387001417646,1.8020387001417646,0.37
2300,1.632838033758581,1.673638033758581,0.45
2400,1.7353348463357745,1.7761348463357745,0.43
2500,1.639716766601022,1.680516766601022,0.38
2600,1.609897110625459,1.6506971106254589,0.5
2700,1.8263798261761257,1.8671798261761257,0.31
2800,1.6229031989586,1.6637031989586,0.47
2900,1.5181657349563125,1.5589657349563124,0.43
3000,1.6620585420459921,1.702858542045992,0.43
3100,1.4042076169452955,1.4450076169452954,0.5
3200,1.7840599917870146,1.8248599917870145,0.38
3300,1.5831370338172874,1.6239370338172874,0.41
3400,1.4760722930255807,1.5168722930255807,0.43
3500,1.545326698930073,1.5861266989300729,0.43
3600,1.3431666674996707,1.3839666674996707,0.5
3700,1.3825128205495685,1.4233128205495684,0.46
3800,1.282483302961553,1.323283302961553,0.59
3900,1.3633480061424643,1.4041480061424643,0.54
4000,1.2866124698936756,1.3274124698936756,0.57
4100,1.4244290009637686,1.4652290009637685,0.5
4200,1.4652719070414384,1.5060719070414383,0.48
4300,1.4173576484943944,1.4581576484943943,0.54
4400,1.1693706826226558,1.2101706826226557,0.63
4500,1.4640952772565061,1.504895277256506,0.55
4600,1.4357844730362956,1.4765844730362956,0.45
4700,1.2797319646784866,1.3205319646784865,0.51
4800,1.2707276985711122,1.3115276985711122,0.54
4900,1.56930003527937,1.61010003527937,0.45
5000,1.3385071370057273,1.3793071370057273,0.54
5100,2.100601042615749,2.141401042615749,0.36
5200,1.5820212567820189,1.6228212567820188,0.41
5300,1.4691855184664235,1.5099855184664235,0.49
5400,1.4977970904630826,1.5385970904630826,0.43
5500,1.533704389839685,1.5745043898396849,0.47
5600,1.4868839412099149,1.5276839412099148,0.39
5700,2.207375654812962,2.248175654812962,0.38
5800,1.585252469590402,1.626052469590402,0.46
5900,1.5094725900397419,1.5502725900397418,0.45
6000,1.3303086359973317,1.3711086359973317,0.48
6100,1.7267688578905769,1.7675688578905768,0.37
6200,1.43986821110805,1.48066821110805,0.48
6300,1.4818827848184208,1.5226827848184208,0.49
6400,2.047367879156834,2.088167879156834,0.35
6500,1.431537568017033,1.472337568017033,0.44
6600,1.9088719496703705,1.9496719496703705,0.29
6700,1.5542093281151665,1.5950093281151665,0.47
6800,1.6747839214858629,1.7155839214858628,0.37
6900,1.3949851082764715,1.4357851082764714,0.53
7000,1.65194902813933,1.69274902813933,0.43
7100,1.355775761167104,1.396575761167104,0.53
7200,1.6322718716159057,1.6730718716159056,0.43
7300,1.3337512263293576,1.3745512263293576,0.54
7400,1.4757078817524998,1.5165078817524997,0.41
7500,1.4451983052318718,1.4859983052318717,0.57
7600,1.5895187603077239,1.6303187603077238,0.48
7700,1.4926786210222434,1.5334786210222433,0.48
7800,1.2842444564464544,1.3250444564464543,0.54
7900,1.4947760721105914,1.5355760721105913,0.42
8000,1.561195284188864,1.601995284188864,0.42
8100,1.2677307953638743,1.3085307953638743,0.53
8200,1.2499156335221366,1.2907156335221366,0.56
8300,1.2786579559527977,1.3194579559527977,0.55
8400,1.381324167725303,1.422124167725303,0.47
8500,1.4146006389011483,1.4554006389011482,0.53
8600,1.3340209151638798,1.3748209151638797,0.58
8700,0.9981466676040389,1.0389466676040389,0.66
8800,1.3248992722348283,1.3656992722348282,0.55
8900,1.239417343202796,1.280217343202796,0.6
