Step,Loss,Cost,Accuracy
0,2.3025821455776523,2.303582145577652,0.13
50,2.1508680655530408,2.1518680655530407,0.2
100,2.184595853000306,2.1855958530003057,0.15
150,1.9328337864204963,1.9338337864204962,0.28
200,1.8394258497379388,1.8404258497379387,0.29
250,2.0044472926698966,2.0054472926698965,0.21
300,1.8896325035408514,1.8906325035408513,0.29
350,1.7263263723167963,1.7273263723167962,0.45
400,1.9173786881712922,1.918378688171292,0.35
450,3.21526314844598,3.21626314844598,0.18
500,1.6832386719386205,1.6842386719386204,0.38
550,1.7662441753708382,1.767244175370838,0.36
600,1.60567882192481,1.6066788219248098,0.44
650,1.913366800408383,1.914366800408383,0.37
700,1.413749817415711,1.414749817415711,0.43
750,1.4931857715984753,1.4941857715984752,0.48
800,1.428080497746539,1.4290804977465388,0.53
850,2.0843757400933143,2.085375740093314,0.3
900,2.2854547372354714,2.2864547372354713,0.26
950,1.4203910609854515,1.4213910609854514,0.57
1000,1.52234398330027,1.52334398330027,0.43
1050,1.5200435296086128,1.5210435296086127,0.46
1100,1.2571020127671995,1.2581020127671994,0.6
1150,1.7373295818976138,1.7383295818976137,0.37
1200,1.9535921710878226,1.9545921710878225,0.31
1250,1.262628101700627,1.2636281017006268,0.57
1300,1.5015580259274626,1.5025580259274625,0.46
1350,1.50914137113199,1.51014137113199,0.45
1400,1.558106538180159,1.559106538180159,0.46
1450,1.6323765764425182,1.633376576442518,0.42
1500,1.2668035111307794,1.2678035111307793,0.54
1550,1.2009360527520403,1.2019360527520402,0.56
1600,1.361880223826063,1.3628802238260629,0.5
1650,1.507989961629851,1.508989961629851,0.39
1700,1.2579190813557461,1.258919081355746,0.63
1750,1.331245259147158,1.3322452591471579,0.51
1800,1.3385662602659476,1.3395662602659475,0.5
1850,1.204998393719619,1.2059983937196188,0.58
1900,1.2122671751681273,1.2132671751681272,0.56
1950,1.448326348224817,1.4493263482248169,0.48
2000,1.1728495618065324,1.1738495618065323,0.61
2050,1.656577288938914,1.657577288938914,0.44
2100,1.2683139439557831,1.269313943955783,0.53
2150,1.296116365021179,1.297116365021179,0.55
2200,1.5568687919924222,1.5578687919924221,0.48
2250,1.2553429390311128,1.2563429390311127,0.54
2300,1.7371807051015988,1.7381807051015987,0.35
2350,1.3594298360913202,1.36042983609132,0.57
2400,1.6334758906231819,1.6344758906231818,0.39
2450,1.3576192305655914,1.3586192305655913,0.49
2500,1.3592620838618128,1.3602620838618127,0.56
2550,1.7594539079740426,1.7604539079740424,0.44
2600,1.3252570248192088,1.3262570248192087,0.52
2650,1.5321668947355311,1.533166894735531,0.49
2700,2.3938503911115516,2.3948503911115515,0.15
2750,1.6292072675724856,1.6302072675724855,0.41
2800,1.5194786389400687,1.5204786389400686,0.59
2850,1.4278388010488923,1.4288388010488922,0.54
2900,1.7732770445080666,1.7742770445080664,0.49
2950,1.6860682543770726,1.6870682543770725,0.38
3000,1.8094435075252795,1.8104435075252794,0.44
3050,1.4472903510582185,1.4482903510582184,0.44
3100,1.187501449187322,1.1885014491873218,0.61
3150,1.1233597394040225,1.1243597394040223,0.67
3200,1.393146212031681,1.394146212031681,0.46
3250,1.236649594478616,1.2376495944786159,0.61
3300,1.1757615268426327,1.1767615268426326,0.6
3350,1.5071868114863054,1.5081868114863053,0.49
3400,1.2199864000223537,1.2209864000223536,0.56
3450,1.0447187199917205,1.0457187199917204,0.62
3500,1.1155466278547588,1.1165466278547587,0.66
3550,1.24519090141607,1.24619090141607,0.59
