Step,Loss,Cost,Accuracy
0,2.3025821455776523,2.303582145577652,0.13
5,2.3028027029860727,2.3038027029860726,0.11
10,2.3013765911786415,2.3023765911786414,0.14
15,2.3024059930086973,2.303405993008697,0.17
20,2.3003437287482926,2.3013437287482925,0.22
25,2.300395376176404,2.301395376176404,0.16
30,2.2977416442681466,2.2987416442681465,0.21
35,2.296854369591958,2.297854369591958,0.18
40,2.292498351777139,2.293498351777139,0.25
45,2.2912562316512086,2.2922562316512085,0.22
50,2.275028462618896,2.276028462618896,0.28
55,2.273755726125419,2.2747557261254188,0.21
60,2.2737664968887223,2.2747664968887222,0.3
65,2.252477292522949,2.2534772925229487,0.25
70,2.2472838840591227,2.2482838840591226,0.32
75,2.2137097937896795,2.2147097937896794,0.31
80,2.206598479789128,2.207598479789128,0.18
85,2.2250490292038485,2.2260490292038484,0.29
90,2.2261418230385983,2.227141823038598,0.13
95,2.226359917703065,2.227359917703065,0.15
100,2.1910699680257686,2.1920699680257685,0.17
105,2.094048919816957,2.095048919816957,0.3
110,2.2780285737983714,2.2790285737983713,0.08
115,2.2021992314916248,2.2031992314916247,0.28
120,2.1688471244510596,2.1698471244510595,0.2
125,2.1452185521920275,2.1462185521920274,0.25
130,2.126846116370402,2.127846116370402,0.21
135,2.1644246973294377,2.1654246973294375,0.23
140,2.1546451830792863,2.155645183079286,0.16
145,2.076531801354238,2.077531801354238,0.2
150,2.0607548704564342,2.061754870456434,0.27
155,2.030970776172082,2.031970776172082,0.27
160,2.042758359040994,2.043758359040994,0.3
165,2.1578645082333012,2.158864508233301,0.34
170,2.0258924820410122,2.026892482041012,0.25
175,2.027038382507841,2.028038382507841,0.27
180,2.1514168592081258,2.1524168592081256,0.19
185,2.0681496713680882,2.069149671368088,0.24
190,2.1040194122049396,2.1050194122049395,0.18
195,2.079951903360328,2.080951903360328,0.26
200,2.017725493839345,2.018725493839345,0.19
205,2.085412923216366,2.0864129232163657,0.26
210,1.938010708852322,1.9390107088523219,0.31
215,2.0823337372429545,2.0833337372429543,0.24
220,1.9314413729211304,1.9324413729211303,0.29
225,2.023213575980661,2.024213575980661,0.28
230,1.9371018333084424,1.9381018333084423,0.37
235,2.0434605001004114,2.0444605001004112,0.27
240,1.953865325621257,1.954865325621257,0.31
245,1.972477253208463,1.9734772532084628,0.39
250,2.015283731491122,2.016283731491122,0.24
255,2.1898793919234985,2.1908793919234983,0.26
260,2.1074227685330755,2.1084227685330754,0.21
265,1.9555387993835671,1.956538799383567,0.29
270,2.035535617904055,2.036535617904055,0.21
275,2.364947563522431,2.3659475635224307,0.18
280,1.9002695854631404,1.9012695854631403,0.32
285,2.0753399582444017,2.0763399582444015,0.27
290,2.0710799647391913,2.072079964739191,0.17
295,1.8151009689029414,1.8161009689029413,0.38
300,1.9551402519399168,1.9561402519399167,0.23
305,2.1888824418954833,2.189882441895483,0.2
310,1.8249095593854023,1.8259095593854022,0.38
315,1.941276093088069,1.942276093088069,0.3
320,1.8868740755092173,1.8878740755092172,0.38
325,1.9490733051634876,1.9500733051634875,0.29
330,1.8455615156657106,1.8465615156657105,0.37
335,1.9348624995163661,1.935862499516366,0.29
340,1.9369936521839402,1.93799365218394,0.34
345,1.8348132518639357,1.8358132518639356,0.32
350,1.8711996863396794,1.8721996863396793,0.4
355,1.9478160893801382,1.948816089380138,0.3
360,1.9796105386302019,1.9806105386302018,0.35
365,1.8135492613257589,1.8145492613257588,0.36
370,1.863695596938328,1.8646955969383279,0.31
375,1.873933876409363,1.8749338764093628,0.29
380,1.7536343709046462,1.7546343709046461,0.39
385,1.7692761315223542,1.770276131522354,0.4
390,1.7556986577374516,1.7566986577374515,0.34
395,1.851454155208435,1.8524541552084348,0.36
400,1.9323757685926077,1.9333757685926076,0.29
405,2.709652424398783,2.710652424398783,0.21
410,1.746397623854332,1.7473976238543318,0.32
415,1.7757912934827187,1.7767912934827186,0.43
420,1.7167834743769814,1.7177834743769813,0.37
425,1.8458278722548769,1.8468278722548768,0.36
430,1.7094474548829657,1.7104474548829656,0.38
435,1.6996917516765273,1.7006917516765272,0.35
440,1.8603922894133051,1.861392289413305,0.35
445,1.722098804847832,1.723098804847832,0.39
450,3.012592856586863,3.013592856586863,0.19
455,1.8579861459468836,1.8589861459468835,0.36
460,1.9207624177597145,1.9217624177597143,0.33
465,1.7363926959389053,1.7373926959389052,0.37
470,1.6907042961003065,1.6917042961003064,0.43
475,1.8273038199834408,1.8283038199834407,0.35
480,1.7313653917865144,1.7323653917865143,0.38
485,2.334995762820033,2.335995762820033,0.17
490,1.8476589695821215,1.8486589695821214,0.34
495,1.9678456219108957,1.9688456219108956,0.28
500,1.6206110578776287,1.6216110578776286,0.41
505,2.0642321565196546,2.0652321565196545,0.3
510,1.7772480023201467,1.7782480023201466,0.37
515,3.0098944345213163,3.010894434521316,0.17
520,1.7865475107875697,1.7875475107875696,0.34
525,1.544800060029633,1.5458000600296329,0.44
530,1.617685284179215,1.618685284179215,0.43
535,1.6700201659319769,1.6710201659319768,0.4
540,1.9059013525026922,1.906901352502692,0.34
545,1.6337958682536344,1.6347958682536343,0.4
550,2.081672909830128,2.0826729098301278,0.26
555,1.8091271856874116,1.8101271856874115,0.3
560,1.5347249523582063,1.5357249523582062,0.51
565,1.6338788791067864,1.6348788791067863,0.37
570,1.8207459130062995,1.8217459130062994,0.36
575,1.7985979205469713,1.7995979205469712,0.36
580,1.5715591012382297,1.5725591012382296,0.47
585,1.6888941981763737,1.6898941981763735,0.38
590,1.6700889625077093,1.6710889625077092,0.37
595,1.632921564049999,1.6339215640499989,0.38
600,1.8453194912895592,1.846319491289559,0.36
605,1.6981118431896849,1.6991118431896848,0.45
610,1.7143883873412182,1.7153883873412181,0.37
615,1.7388720744707373,1.7398720744707372,0.37
620,1.779995515262758,1.780995515262758,0.28
625,1.735487934656937,1.7364879346569368,0.4
630,1.704266030587602,1.705266030587602,0.35
635,2.1340681618419337,2.1350681618419336,0.24
640,1.7471074907400932,1.748107490740093,0.4
645,1.8526983379080468,1.8536983379080467,0.36
650,1.7777015187912335,1.7787015187912334,0.43
655,1.8427307209146138,1.8437307209146137,0.43
660,1.4857193287552142,1.486719328755214,0.49
665,1.6679572171876342,1.6689572171876341,0.4
670,1.6016368348578702,1.6026368348578701,0.45
675,1.8995983966440173,1.9005983966440172,0.36
680,1.6117641916086598,1.6127641916086597,0.42
685,3.5658383824359134,3.5668383824359133,0.16
690,1.459135927375705,1.4601359273757049,0.49
695,1.6096604997609754,1.6106604997609753,0.44
700,1.3967645907969233,1.3977645907969232,0.47
705,1.9422195662357717,1.9432195662357716,0.24
710,1.5260369520380812,1.527036952038081,0.4
715,1.7220028004309913,1.7230028004309912,0.41
720,1.7622717578223637,1.7632717578223636,0.32
725,1.4927359381242493,1.4937359381242492,0.47
730,1.5212685841773252,1.5222685841773251,0.46
735,1.7101375321980254,1.7111375321980253,0.41
740,1.5184203941352472,1.519420394135247,0.43
745,1.5358546185576023,1.5368546185576022,0.49
750,1.6135602248496723,1.6145602248496722,0.45
755,1.5996548941476825,1.6006548941476824,0.48
760,1.4549948469524125,1.4559948469524124,0.49
765,1.6054350840773914,1.6064350840773913,0.39
770,1.535906021319629,1.5369060213196288,0.44
775,1.779732286126508,1.7807322861265078,0.31
780,1.682526850901333,1.6835268509013328,0.38
785,1.9771192555533172,1.9781192555533171,0.33
790,1.5251145969641982,1.526114596964198,0.52
795,1.7063580184572205,1.7073580184572203,0.45
800,1.3203402561132593,1.3213402561132592,0.54
805,1.4048196342980626,1.4058196342980624,0.47
810,1.5713101237370224,1.5723101237370223,0.43
815,1.6040057224622797,1.6050057224622796,0.46
820,1.6378750115578757,1.6388750115578756,0.39
825,1.8185739876734508,1.8195739876734507,0.37
830,1.5322361986501065,1.5332361986501064,0.45
835,1.5478332528583874,1.5488332528583872,0.44
840,1.5022065795523494,1.5032065795523493,0.48
845,1.3774864561384785,1.3784864561384784,0.53
850,1.7212477840067806,1.7222477840067805,0.4
855,1.5875894814972644,1.5885894814972643,0.44
860,1.6241156020651142,1.625115602065114,0.44
865,1.351669451756782,1.3526694517567819,0.52
870,1.4943978854713678,1.4953978854713676,0.53
875,1.4772646597938914,1.4782646597938913,0.41
880,1.4862087588161892,1.487208758816189,0.47
885,1.5065281510550248,1.5075281510550247,0.43
890,1.4603726193771704,1.4613726193771703,0.54
895,1.7141354202245944,1.7151354202245943,0.42
900,2.1576307437128057,2.1586307437128056,0.31
905,1.3769035507596983,1.3779035507596982,0.55
910,1.4863071639589955,1.4873071639589954,0.51
915,1.6631834042794276,1.6641834042794275,0.38
920,1.7760412674698705,1.7770412674698703,0.3
925,1.3515453164711257,1.3525453164711256,0.49
930,1.710436067697003,1.7114360676970028,0.43
935,1.6608137183844363,1.6618137183844361,0.48
940,1.5327192379723882,1.533719237972388,0.49
945,1.5058780674902439,1.5068780674902438,0.49
950,1.5423320932591806,1.5433320932591805,0.48
955,1.2393991187529743,1.2403991187529742,0.5
960,1.6891734512627188,1.6901734512627187,0.36
965,1.7376361220996153,1.7386361220996152,0.34
