Step,Loss,Cost,Accuracy
0,2.302585042314433,2.303585042314433,0.11
5,2.302582025541509,2.303582025541509,0.14
10,2.302580386136326,2.3035803861363258,0.06
15,2.302579083066658,2.303579083066658,0.07
20,2.3025716614452953,2.3035716614452952,0.12
25,2.3025700824853925,2.3035700824853924,0.18
30,2.302584199895555,2.303584199895555,0.08
35,2.3025771774740758,2.3035771774740756,0.11
40,2.3025529409357173,2.303552940935717,0.17
45,2.3025620507324573,2.3035620507324572,0.12
50,2.302573568284373,2.303573568284373,0.1
55,2.3026014019570806,2.3036014019570805,0.12
60,2.302563364641811,2.303563364641811,0.16
65,2.3025789830855214,2.3035789830855213,0.06
70,2.3025995193797812,2.303599519379781,0.09
75,2.302571648639463,2.303571648639463,0.14
80,2.3026010544777336,2.3036010544777334,0.11
85,2.3025718434145013,2.303571843414501,0.11
90,2.302485211702472,2.303485211702472,0.16
95,2.3024932316619853,2.303493231661985,0.18
100,2.302413352509591,2.303413352509591,0.2
105,2.302634599106365,2.3036345991063647,0.08
110,2.302602099356622,2.3036020993566217,0.12
115,2.302624557466856,2.303624557466856,0.09
120,2.3024745713189567,2.3034745713189566,0.12
125,2.30260899037812,2.30360899037812,0.13
130,2.3025022819632257,2.3035022819632256,0.11
135,2.302572401318028,2.303572401318028,0.1
140,2.302532817142445,2.303532817142445,0.11
145,2.302482606744314,2.3034826067443137,0.13
150,2.3025487511773446,2.3035487511773445,0.05
155,2.3026755313954497,2.3036755313954496,0.09
160,2.3026149594161405,2.3036149594161404,0.1
165,2.302754651053389,2.303754651053389,0.05
170,2.3023761243183998,2.3033761243183997,0.15
175,2.3026633390877183,2.303663339087718,0.06
180,2.3024307836712765,2.3034307836712764,0.14
185,2.3027375910972054,2.3037375910972053,0.12
190,2.3025120824210386,2.3035120824210384,0.13
195,2.3026836898981307,2.3036836898981305,0.06
200,2.302569299459133,2.303569299459133,0.08
205,2.302551576686374,2.303551576686374,0.16
210,2.3025123664974223,2.303512366497422,0.14
215,2.302394910326196,2.3033949103261957,0.13
220,2.302823908047558,2.303823908047558,0.07
225,2.302539211380015,2.303539211380015,0.09
230,2.3024599966683024,2.3034599966683023,0.09
235,2.302547312014921,2.303547312014921,0.09
240,2.302978019790069,2.303978019790069,0.09
245,2.3026572540153363,2.303657254015336,0.04
250,2.30246958328223,2.30346958328223,0.1
255,2.3024440602727605,2.3034440602727604,0.12
260,2.30251444320453,2.30351444320453,0.13
265,2.3024411616072906,2.3034411616072905,0.11
270,2.302548577287967,2.303548577287967,0.11
275,2.302355236099234,2.3033552360992338,0.1
280,2.3024449582594775,2.3034449582594774,0.14
285,2.302393222823709,2.303393222823709,0.11
290,2.302528456305304,2.303528456305304,0.13
295,2.3024358025783886,2.3034358025783885,0.1
300,2.3025566607552532,2.303556660755253,0.09
305,2.3026287964553225,2.3036287964553224,0.11
310,2.3024792195029202,2.30347921950292,0.09
