Step,Loss,Cost,Accuracy
0,2.6716654460217897,2.6756654460217897,0.13
50,2.411477979988693,2.415477979988693,0.24
100,2.134335257933303,2.138335257933303,0.26
150,1.988960971039983,1.992960971039983,0.29
200,1.8928067398961794,1.8968067398961794,0.28
250,1.8033981749982386,1.8073981749982386,0.35
300,1.7104138950622565,1.7144138950622565,0.39
350,1.7242989532142254,1.7282989532142254,0.41
400,1.8714888651667083,1.8754888651667083,0.36
450,2.1898838786876507,2.1938838786876507,0.22
500,1.8394451848824247,1.8434451848824247,0.35
550,1.8755619572376445,1.8795619572376445,0.32
600,1.6235329828346203,1.6275329828346203,0.4
650,1.743721072280615,1.747721072280615,0.45
700,1.586829454050797,1.590829454050797,0.44
750,1.57145551764331,1.57545551764331,0.43
800,1.3490343039786825,1.3530343039786825,0.58
850,1.8829149022018488,1.8869149022018488,0.25
900,1.915549934565661,1.919549934565661,0.28
950,1.6582103683680358,1.6622103683680358,0.49
1000,1.6980233624897314,1.7020233624897314,0.37
1050,1.5020776689618014,1.5060776689618014,0.54
1100,1.5351816844877166,1.5391816844877166,0.41
1150,1.9172057353013379,1.9212057353013379,0.35
1200,1.98535120751417,1.98935120751417,0.29
1250,1.309337728535098,1.313337728535098,0.56
1300,1.5293919456845675,1.5333919456845675,0.48
1350,1.8059529823971934,1.8099529823971934,0.38
1400,1.9160880979117139,1.9200880979117139,0.36
1450,1.6651158572777687,1.6691158572777687,0.36
1500,1.38285332634548,1.38685332634548,0.53
1550,1.4837543349618705,1.4877543349618705,0.37
1600,1.497138708158372,1.501138708158372,0.49
1650,1.5712239536642592,1.5752239536642592,0.42
1700,1.390905364087872,1.394905364087872,0.51
1750,1.4816092120238593,1.4856092120238593,0.47
1800,1.401582597537631,1.405582597537631,0.51
1850,1.2689976801015188,1.2729976801015188,0.54
1900,1.3138969832286713,1.3178969832286713,0.57
1950,2.2791436718501994,2.2831436718501994,0.22
2000,1.332616065572285,1.336616065572285,0.53
2050,1.8978049329463804,1.9018049329463804,0.36
2100,1.6009373633784378,1.6049373633784378,0.43
2150,1.5719378877946935,1.5759378877946935,0.4
2200,1.679383263888058,1.683383263888058,0.43
2250,1.513839677249257,1.517839677249257,0.43
2300,1.8096386470389627,1.8136386470389627,0.4
2350,2.114200232849311,2.118200232849311,0.26
2400,1.6894308772370297,1.6934308772370297,0.43
2450,1.602094873124579,1.606094873124579,0.42
2500,1.2422335932411912,1.2462335932411912,0.67
2550,1.8917328483555638,1.8957328483555638,0.39
2600,1.6253185988360273,1.6293185988360273,0.43
2650,1.6554604588587976,1.6594604588587976,0.44
2700,2.0108543390193434,2.0148543390193434,0.26
2750,1.6864175832569996,1.6904175832569996,0.39
2800,1.6575108342981866,1.6615108342981866,0.42
2850,2.3204833691687035,2.3244833691687035,0.32
2900,2.286761900124955,2.290761900124955,0.36
2950,1.708365070573272,1.712365070573272,0.45
3000,1.6225178511304135,1.6265178511304135,0.46
3050,1.721671551594707,1.725671551594707,0.34
3100,1.6731379738082888,1.6771379738082888,0.48
3150,1.4660910523736255,1.4700910523736255,0.46
3200,1.6407731337398719,1.6447731337398719,0.5
3250,1.438023725288196,1.442023725288196,0.52
3300,1.4274940216329837,1.4314940216329837,0.49
3350,1.9806861874389554,1.9846861874389554,0.33
3400,1.45331404122919,1.45731404122919,0.45
3450,1.215021435505289,1.219021435505289,0.55
3500,1.2816384724988052,1.2856384724988053,0.57
3550,1.3732075303228926,1.3772075303228926,0.55
